control_id,variant_id,variant,family,nist_title,vocab_pattern,ml_reason,mlassure_pattern,collectors,control_text,meaning_preserved,notes
AC-3,AC-3.v0,0,AC,Access Enforcement,mixed,The endpoint execution-role policy statements are the logical-access rules the fixture exposes for the deployed model.,sufficiency,getEndpointExecutionRole,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AC-3,AC-3.v1,1,AC,Access Enforcement,mixed,The endpoint execution-role policy statements are the logical-access rules the fixture exposes for the deployed model.,sufficiency,getEndpointExecutionRole,Apply approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,,
AC-3,AC-3.v2,2,AC,Access Enforcement,mixed,The endpoint execution-role policy statements are the logical-access rules the fixture exposes for the deployed model.,sufficiency,getEndpointExecutionRole,"Logical access to information and system resources is to be limited to approved authorizations, in accordance with applicable access control policies.",,
AC-3,AC-3.v3,3,AC,Access Enforcement,mixed,The endpoint execution-role policy statements are the logical-access rules the fixture exposes for the deployed model.,sufficiency,getEndpointExecutionRole,"In accordance with applicable access control policies, enforce approved authorizations for logical access to information and system resources.",,
AC-3,AC-3.v4,4,AC,Access Enforcement,mixed,The endpoint execution-role policy statements are the logical-access rules the fixture exposes for the deployed model.,sufficiency,getEndpointExecutionRole,Approved authorizations for logical access to information and system resources are enforced in accordance with applicable access control policies.,,
AC-2(7),AC-2(7).v0,0,AC,Account Management | Privileged User Accounts,mixed,"The generic SageMaker execution role plus CloudTrail identities show how privileged endpoint accounts are administered, monitored, and revoked.",synthesis,getEndpointExecutionRole|getCloudTrailEvents,(a) Establish and administer privileged user accounts in accordance with [Selection: a role-based access scheme; an attribute-based access scheme]; (b) Monitor privileged role or attribute assignments; (c) Monitor changes to roles or attributes; and (d) Revoke access when privileged role or attribute assignments are no longer appropriate.,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AC-2(7),AC-2(7).v1,1,AC,Account Management | Privileged User Accounts,mixed,"The generic SageMaker execution role plus CloudTrail identities show how privileged endpoint accounts are administered, monitored, and revoked.",synthesis,getEndpointExecutionRole|getCloudTrailEvents,(a) Set up and administer privileged user accounts in accordance with [Selection: a role-based access scheme; an attribute-based access scheme]; (b) Monitor assignments of privileged roles or attributes; (c) Monitor changes to roles or attributes; and (d) Revoke access when privileged role or attribute assignments are no longer appropriate.,,
AC-2(7),AC-2(7).v2,2,AC,Account Management | Privileged User Accounts,mixed,"The generic SageMaker execution role plus CloudTrail identities show how privileged endpoint accounts are administered, monitored, and revoked.",synthesis,getEndpointExecutionRole|getCloudTrailEvents,Privileged user accounts are established and administered in accordance with [Selection: a role-based access scheme; an attribute-based access scheme]; privileged role or attribute assignments are monitored; changes to roles or attributes are monitored; and access is revoked when privileged role or attribute assignments are no longer appropriate.,,
AC-2(7),AC-2(7).v3,3,AC,Account Management | Privileged User Accounts,mixed,"The generic SageMaker execution role plus CloudTrail identities show how privileged endpoint accounts are administered, monitored, and revoked.",synthesis,getEndpointExecutionRole|getCloudTrailEvents,"(a) In accordance with [Selection: a role-based access scheme; an attribute-based access scheme], establish and administer privileged user accounts; (b) Watch privileged role or attribute assignments; (c) Watch changes to roles or attributes; and (d) Take away access when privileged role or attribute assignments are no longer appropriate.",,
AC-2(7),AC-2(7).v4,4,AC,Account Management | Privileged User Accounts,mixed,"The generic SageMaker execution role plus CloudTrail identities show how privileged endpoint accounts are administered, monitored, and revoked.",synthesis,getEndpointExecutionRole|getCloudTrailEvents,(a) Establish and administer privileged user accounts following [Selection: a role-based access scheme; an attribute-based access scheme]; (b) Keep privileged role or attribute assignments under monitoring; (c) Keep changes to roles or attributes under monitoring; and (d) Withdraw access when those privileged role or attribute assignments are no longer appropriate.,,
AC-5,AC-5.v0,0,AC,Separation of Duties,specific,A single generic execution role holding both s3:* and sagemaker:* is the fixture's evidence of whether duties are separated in access authorizations.,sufficiency,getEndpointExecutionRole,a. Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and b. Define system access authorizations to support separation of duties.,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AC-5,AC-5.v1,1,AC,Separation of Duties,specific,A single generic execution role holding both s3:* and sagemaker:* is the fixture's evidence of whether duties are separated in access authorizations.,sufficiency,getEndpointExecutionRole,a. Document and identify [Assignment: organization-defined duties of individuals requiring separation]; and b. Define system access authorizations that support separation of duties.,,
AC-5,AC-5.v2,2,AC,Separation of Duties,specific,A single generic execution role holding both s3:* and sagemaker:* is the fixture's evidence of whether duties are separated in access authorizations.,sufficiency,getEndpointExecutionRole,a. Identify [Assignment: organization-defined duties of individuals requiring separation] and record them; and b. Specify system access authorizations to support separation of duties.,,
AC-5,AC-5.v3,3,AC,Separation of Duties,specific,A single generic execution role holding both s3:* and sagemaker:* is the fixture's evidence of whether duties are separated in access authorizations.,sufficiency,getEndpointExecutionRole,Separation of duties is supported by: a. Identifying and documenting [Assignment: organization-defined duties of individuals requiring separation]; and b. Defining system access authorizations to support that separation.,,
AC-5,AC-5.v4,4,AC,Separation of Duties,specific,A single generic execution role holding both s3:* and sagemaker:* is the fixture's evidence of whether duties are separated in access authorizations.,sufficiency,getEndpointExecutionRole,a. Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and b. Establish the system access authorizations needed to support separation of duties.,,
AC-6,AC-6.v0,0,AC,Least Privilege,vague-qualifier,Overly broad s3:* and sagemaker:* statements on the endpoint role are the fixture's least-privilege evidence.,sufficiency,getEndpointExecutionRole,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AC-6,AC-6.v1,1,AC,Least Privilege,vague-qualifier,Overly broad s3:* and sagemaker:* statements on the endpoint role are the fixture's least-privilege evidence.,sufficiency,getEndpointExecutionRole,Apply the principle of least privilege so that users (or processes acting on behalf of users) receive only the authorized accesses that are necessary to accomplish assigned organizational tasks.,,
