control_id,variant_id,variant,family,nist_title,vocab_pattern,ml_reason,mlassure_pattern,collectors,control_text,meaning_preserved,notes,rewrite_rules_applied
AC-6(9),AC-6(9).r0,0,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,Log the execution of privileged functions in a log of privileged-function execution.,yes,"r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R1|R2|R4; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed; review: adds tautological 'in a log of privileged-function execution' vs official 'Log the execution of privileged functions'; redundant, no new requirement",R1|R2|R4
AC-6(9),AC-6(9).r1,1,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,Log privileged-function execution in a log of that execution.,yes,"review: adds tautological 'in a log of privileged-function execution' vs official 'Log the execution of privileged functions'; redundant, no new requirement",R1|R2|R4
AC-6(9),AC-6(9).r2,2,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,The execution of privileged functions is logged in a log of privileged-function execution.,yes,"review: adds tautological 'in a log of privileged-function execution' vs official 'Log the execution of privileged functions'; redundant, no new requirement",R1|R2|R4
AC-6(9),AC-6(9).r3,3,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,Put the execution of privileged functions in a log of privileged-function execution.,yes,"review: adds tautological 'in a log of privileged-function execution' vs official 'Log the execution of privileged functions'; redundant, no new requirement",R1|R2|R4
AC-6(9),AC-6(9).r4,4,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,Keep a log of privileged-function execution of the execution of privileged functions.,unsure,"review: garbled double construction ('a log of privileged-function execution of the execution of privileged functions'); no requirement added or dropped, but syntax risks assessor misreading",R1|R2|R4
AU-8,AU-8.r0,0,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,a. Use internal system clocks to generate time stamps for audit records; and b. Record those time stamps for audit records such that the time stamps meet [Assignment: organization-defined granularity of time measurement] and satisfy one or more of the following: use Coordinated Universal Time; have a fixed local time offset from Coordinated Universal Time; include the local time offset as part of the time stamp.,yes,r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R2|R5|R7; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed,R2|R5|R7
AU-8,AU-8.r1,1,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,a. Generate time stamps for audit records using internal system clocks; and b. Record those time stamps for audit records such that the time stamps meet [Assignment: organization-defined granularity of time measurement] and satisfy one or more of the following: use Coordinated Universal Time; have a fixed local time offset from Coordinated Universal Time; include the local time offset as part of the time stamp.,yes,,R2|R5|R7
AU-8,AU-8.r2,2,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,a. Internal system clocks are used to generate time stamps for audit records; and b. Time stamps recorded for audit records meet [Assignment: organization-defined granularity of time measurement] and satisfy one or more of the following: use Coordinated Universal Time; have a fixed local time offset from Coordinated Universal Time; include the local time offset as part of the time stamp.,yes,,R2|R5|R7
AU-8,AU-8.r3,3,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,"a. Use internal system clocks to produce time stamps for audit records; and b. Record, for audit records, those time stamps meeting [Assignment: organization-defined granularity of time measurement] that satisfy one or more of the following: use Coordinated Universal Time; have a fixed local time offset from Coordinated Universal Time; include the local time offset as part of the time stamp.",yes,,R2|R5|R7
AU-8,AU-8.r4,4,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,a. Use internal system clocks to generate time stamps for audit records; and b. Audit-record time stamps meet [Assignment: organization-defined granularity of time measurement] and satisfy one or more of the following: use Coordinated Universal Time; have a fixed local time offset from Coordinated Universal Time; include the local time offset as part of the time stamp.,unsure,"review: part b drops the explicit 'Record' action from official b; asserts audit-record time stamps meet granularity without requiring they be recorded (compare r2, which keeps 'recorded')",R2|R5|R7
CM-2,CM-2.r0,0,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,a. Develop a current baseline configuration of the system; document that baseline configuration; and maintain that baseline configuration under configuration control; and b. Review and update the baseline configuration of the system: 1. [Assignment: organization-defined frequency]; 2. When [Assignment: organization-defined circumstances] require a review and update; and 3. When system components are installed or upgraded.,yes,r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R2|R3|R6|R7; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed,R2|R3|R6|R7
CM-2,CM-2.r1,1,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,a. Develop a current system baseline configuration; document that baseline configuration; and keep that baseline configuration under configuration control; and b. Review and update the baseline configuration of the system: 1. [Assignment: organization-defined frequency]; 2. When [Assignment: organization-defined circumstances] require a review and update; and 3. When system components are installed or upgraded.,yes,,R2|R3|R6|R7
CM-2,CM-2.r2,2,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,a. A current baseline configuration of the system is developed; that baseline configuration is documented; and that baseline configuration is maintained under configuration control; and b. The baseline configuration of the system is reviewed and updated: 1. [Assignment: organization-defined frequency]; 2. When [Assignment: organization-defined circumstances] require a review and update; and 3. When system components are installed or upgraded.,yes,,R2|R3|R6|R7
CM-2,CM-2.r3,3,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,"a. Develop a current baseline configuration of the system, document it, and maintain it under configuration control; and b. Review and update that baseline configuration: 1. [Assignment: organization-defined frequency]; 2. When [Assignment: organization-defined circumstances] require a review and update; and 3. When system components are installed or upgraded.",yes,,R2|R3|R6|R7
CM-2,CM-2.r4,4,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,"a. Under configuration control, develop a current baseline configuration of the system; document that baseline configuration; and maintain that baseline configuration; and b. Review and update the system's baseline configuration: 1. [Assignment: organization-defined frequency]; 2. When [Assignment: organization-defined circumstances] require a review and update; and 3. When system components are installed or upgraded.",unsure,review: 'under configuration control' moved from maintain to develop; official requires the baseline be maintained under configuration control - requirement weakened/ambiguous,R2|R3|R6|R7
CM-3,CM-3.r0,0,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Determine the types of changes to the system that are configuration-controlled, and document those types; b. Review proposed configuration-controlled changes to the system and, with explicit consideration for security and privacy impact analyses, approve or disapprove such changes; c. Document configuration change decisions associated with the system; d. Implement approved configuration-controlled changes to the system; e. Retain records of configuration-controlled changes to the system for [Assignment: organization-defined time period]; f. Monitor activities associated with configuration-controlled changes to the system, and review those activities; and g. Coordinate configuration change control activities, and provide oversight for those activities, through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]].",yes,r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R3|R7; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed,R3|R7
